,LONGITUDE,LATITUDE
42147,-116.175,47.175
42148,-115.95,46.95
42149,-115.96666667,46.93333333
42150,-116.1,47.2
42151,-116.07666667,46.98666667
42152,-116.525,47.10666667
42153,-116.315,48.04166667
42154,-116.19833333,48.08833333
42155,-116.15333333,48.14833333
42156,-116.32166667,48.25833333
42157,-116.29,48.20333333
42158,-116.68333333,48.615
42159,-116.21833333,48.35166667
42160,-116.25,48.28
42161,-116.625,48.04666667
42162,-116.30166667,48.23
42163,-116.345,48.29833333
42164,-116.40833333,48.18
42165,-116.48333333,48.15666667
42166,-116.275,48.23166667
42167,-116.33,48.46
42168,-116.20833333,48.805
42169,-116.40666667,48.61
42170,-116.15666667,48.70166667
42171,-116.82333333,48.99166667
42172,-116.04666667,48.79333333
42173,-116.49,48.84166667
42174,-116.81333333,48.975
42175,-116.48,48.88166667
42176,-116.45833333,48.73
42177,-116.675,48.95333333
42178,-116.52333333,48.83833333
42179,-116.53333333,48.825
42180,-116.45,48.75166667
42181,-116.725,48.98666667
42182,-116.12333333,48.825
42183,-116.595,48.77
42184,-116.65166667,48.92166667
42185,-116.16166667,48.64333333
42186,-116.055,48.75333333
42187,-116.59666667,48.97333333
42188,-116.10833333,48.965
42189,-116.50333333,48.835
42190,-116.86333333,48.26333333
42191,-117.00333333,48.295
42192,-116.90666667,48.64333333
42193,-116.855,48.35
42194,-117.05,48.785
42195,-117.09666667,48.81166667
42196,-117.105,48.80166667
42197,-117.06333333,48.81333333
42198,-117.06166667,48.85333333
42199,-116.98166667,48.86833333
42200,-116.98333333,48.81666667
42201,-116.87833333,48.29
42202,-117.125,48.66833333
42203,-117.025,48.60666667
42204,-116.92833333,48.47666667
42205,-116.965,48.37
42206,-116.88666667,48.645
42207,-116.92,48.705
42208,-116.91666667,48.70333333
42209,-117.04,48.63
42210,-116.95166667,48.74166667
42211,-116.99833333,48.955
42212,-116.935,48.42333333
42213,-115.70666667,46.42333333
42214,-115.62666667,46.34166667
42215,-115.18833333,46.52
42216,-115.22333333,46.55166667
42217,-115.2,46.49166667
42218,-115.57833333,46.58666667
42219,-115.65333333,46.25166667
42220,-115.62,46.30666667
42221,-115.49166667,46.45833333
42222,-115.66333333,46.365
42223,-115.68333333,46.465
42224,-115.66333333,46.37833333
42225,-115.71833333,46.29333333
42226,-115.64166667,46.47833333
42227,-115.64166667,46.475
42228,-115.72333333,46.375
42229,-115.76166667,46.46666667
42230,-115.57,46.43833333
42231,-115.71666667,46.215
42232,-115.33,46.44166667
42233,-115.28833333,46.465
42234,-115.4,46.48666667
42235,-115.335,46.51833333
42236,-115.49166667,46.61166667
42237,-115.62166667,46.43833333
42238,-115.70666667,46.45
42239,-115.67,46.47666667
42240,-115.69333333,46.49
42241,-115.57666667,46.525
42242,-115.625,46.53333333
42243,-115.585,46.57666667
42244,-115.59333333,46.58333333
42245,-115.62166667,46.38333333
42246,-115.61333333,46.37
42247,-115.63166667,46.54833333
42248,-115.59,46.57333333
42249,-115.61666667,46.30833333
42250,-115.69,46.23666667
42251,-115.695,46.235
42252,-115.52666667,46.59166667
42253,-115.48833333,46.57833333
42254,-115.695,46.52666667
42255,-115.69333333,46.36333333
42256,-115.60666667,46.39
42257,-115.65166667,46.36333333
42258,-115.49333333,46.56166667
42259,-115.44,46.48166667
42260,-115.71,46.39333333
42261,-115.705,46.395
42262,-115.54333333,46.47
42263,-115.55833333,46.61666667
42264,-115.6,46.58833333
42265,-115.67166667,46.53833333
42266,-116.12833333,46.68666667
42267,-116.26333333,46.75166667
42268,-116.14833333,46.72166667
42269,-116.475,46.96
42270,-115.68166667,46.90666667
